generation,trial,p,propertyType,property
2,47,0.55,b,0.0673828125
2,47,0.55,a,0.0654296875
2,47,0.55,s,0.072265625
2,47,0.55,c,0.5721330094895497
2,47,0.55,e,0.6523623113474654
1,47,0.55,b,0.4482421875
1,47,0.55,a,0.5517578125
1,47,0.55,s,1.0
1,47,0.55,c,-0.016949152542372926
1,47,0.55,e,0.0004185439594258569
20,46,0.55,b,0.0
20,46,0.55,a,0.7197265625
20,46,0.55,s,0.63671875
20,46,0.55,c,0.8147897680654018
20,46,0.55,e,0.7429647684467094
19,46,0.55,b,0.0
19,46,0.55,a,0.859375
19,46,0.55,s,0.859375
19,46,0.55,c,0.8923834357867936
19,46,0.55,e,0.859172267769653
18,46,0.55,b,0.0
18,46,0.55,a,1.0
18,46,0.55,s,1.0
18,46,0.55,c,1.0
18,46,0.55,e,1.0
17,46,0.55,b,0.0
17,46,0.55,a,1.0
17,46,0.55,s,0.9970703125
17,46,0.55,c,1.0
17,46,0.55,e,1.0
16,46,0.55,b,0.0
16,46,0.55,a,0.9970703125
16,46,0.55,s,0.9970703125
16,46,0.55,c,0.9941383093120348
16,46,0.55,e,0.9970455720511116
15,46,0.55,b,0.0
15,46,0.55,a,1.0
15,46,0.55,s,0.9990234375
15,46,0.55,c,1.0
15,46,0.55,e,1.0
14,46,0.55,b,0.0
14,46,0.55,a,0.9990234375
14,46,0.55,s,0.9990234375
14,46,0.55,c,0.9976956909337756
14,46,0.55,e,0.9990151906837038
13,46,0.55,b,0.0
13,46,0.55,a,1.0
13,46,0.55,s,0.9970703125
13,46,0.55,c,1.0
13,46,0.55,e,1.0
12,46,0.55,b,0.0
12,46,0.55,a,0.9970703125
12,46,0.55,s,0.9970703125
12,46,0.55,c,0.9958333891238562
12,46,0.55,e,0.9970455720511116
11,46,0.55,b,0.0
11,46,0.55,a,1.0
11,46,0.55,s,1.0
11,46,0.55,c,1.0
11,46,0.55,e,1.0
10,46,0.55,b,0.0
10,46,0.55,a,1.0
10,46,0.55,s,0.9970703125
10,46,0.55,c,1.0
10,46,0.55,e,1.0
9,46,0.55,b,0.0
9,46,0.55,a,0.9970703125
9,46,0.55,s,0.9951171875
9,46,0.55,c,0.9958333891238562
9,46,0.55,e,0.9970455720511116
