generation,trial,p,propertyType,property
13,2,1.0,s,1.0
12,2,1.0,b,0.0
12,2,1.0,a,1.0
12,2,1.0,s,1.0
11,2,1.0,b,0.0
11,2,1.0,a,1.0
11,2,1.0,s,1.0
10,2,1.0,b,0.0
10,2,1.0,a,1.0
10,2,1.0,s,1.0
9,2,1.0,b,0.0
9,2,1.0,a,1.0
9,2,1.0,s,1.0
8,2,1.0,b,0.0
8,2,1.0,a,1.0
8,2,1.0,s,1.0
7,2,1.0,b,0.0
7,2,1.0,a,1.0
7,2,1.0,s,0.998046875
6,2,1.0,b,0.0
6,2,1.0,a,0.998046875
6,2,1.0,s,0.998046875
5,2,1.0,b,0.0
5,2,1.0,a,1.0
5,2,1.0,s,1.0
4,2,1.0,b,0.0
4,2,1.0,a,1.0
4,2,1.0,s,1.0
3,2,1.0,b,0.0
3,2,1.0,a,1.0
3,2,1.0,s,1.0
2,2,1.0,b,0.0
2,2,1.0,a,1.0
2,2,1.0,s,1.0
1,2,1.0,b,0.0
1,2,1.0,a,1.0
1,2,1.0,s,1.0
20,1,1.0,b,0.0
20,1,1.0,a,1.0
20,1,1.0,s,1.0
19,1,1.0,b,0.0
19,1,1.0,a,1.0
19,1,1.0,s,1.0
18,1,1.0,b,0.0
18,1,1.0,a,1.0
18,1,1.0,s,1.0
17,1,1.0,b,0.0
17,1,1.0,a,1.0
17,1,1.0,s,1.0
16,1,1.0,b,0.0
16,1,1.0,a,1.0
16,1,1.0,s,0.998046875
15,1,1.0,b,0.0
15,1,1.0,a,0.998046875
15,1,1.0,s,0.994140625
14,1,1.0,b,0.0
14,1,1.0,a,0.99609375
14,1,1.0,s,0.99609375
13,1,1.0,b,0.0
13,1,1.0,a,1.0
13,1,1.0,s,1.0
12,1,1.0,b,0.0
12,1,1.0,a,1.0
12,1,1.0,s,1.0
11,1,1.0,b,0.0
11,1,1.0,a,1.0
11,1,1.0,s,1.0
10,1,1.0,b,0.0
10,1,1.0,a,1.0
10,1,1.0,s,1.0
9,1,1.0,b,0.0
9,1,1.0,a,1.0
